Spell,Description,Level,Damage,Type,Save,Range,Cast Time,Area,Duration,Concentration,Component,Ritual,School,Source,Artificer,Bard,Cleric,Druid,Paladin,Ranger,Sorcerer,Warlock,Wizard
Acid Splash,,0,,,,,,,,,,,,,,,,,,,X,,X
Aid,,2,,,,,,,,,,,,,,,X,,X,,,,
Alarm,,1,,,,,,,,,,,,,,,,,,X,,,X
Alter Self,,2,,,,,,,,,,,,,,,,,,,X,,X
Animal Friendship,,1,,,,,,,,,,,,,,X,,X,,X,,,
Animal Messenger,,2,,,,,,,,,,,,,,X,,X,,X,,,
Animal Shapes,,8,,,,,,,,,,,,,,,,X,,,,,
Animate Dead,,3,,,,,,,,,,,,,,,X,,,,,,X
Animate Objects,,5,,,,,,,,,,,,,,X,,,,,X,,X
Antilife Shell,,5,,,,,,,,,,,,,,,,X,,,,,
Antimagic Field,,8,,,,,,,,,,,,,,,X,,,,,,X
Antipathy/Sympathy,,8,,,,,,,,,,,,,,,,X,,,,,X
Arcane Eye,,4,,,,,,,,,,,,,,,,,,,,,X
Arcane Gate,,6,,,,,,,,,,,,,,,,,,,X,X,X
Arcane Lock,,2,,,,,,,,,,,,,,,,,,,,,X
Armor of Agathys,,1,,,,,,,,,,,,,,,,,,,,X,
Arms of Hadar,,1,,,,,,,,,,,,,,,,,,,,X,
Astral Projection,,9,,,,,,,,,,,,,,,X,,,,,X,X
Augury,,2,,,,,,,,,,,,,,,X,,,,,,
Aura of Life,,4,,,,,,,,,,,,,,,,,X,,,,
Aura of Purity,,4,,,,,,,,,,,,,,,,,X,,,,
Aura of Vitality,,3,,,,,,,,,,,,,,,,,X,,,,
Awaken,,5,,,,,,,,,,,,,,X,,X,,,,,
Bane,,1,,,,,,,,,,,,,,X,X,,,,,,
Banishing Smite,,5,,,,,,,,,,,,,,,,,X,,,,
Banishment,,4,,,,,,,,,,,,,,,X,,X,,X,X,X
Barkskin,,2,,,,,,,,,,,,,,,,X,,X,,,
Beacon of Hope,,3,,,,,,,,,,,,,,,X,,,,,,
Beast Sense,,2,,,,,,,,,,,,,,,,X,,X,,,
Bestow Curse,,3,,,,,,,,,,,,,,X,X,,,,,,X
Bigby’s Hand,,5,,,,,,,,,,,,,,,,,,,,,X
Blade Barrier,,6,,,,,,,,,,,,,,,X,,,,,,
Blade Ward,,0,,,,,,,,,,,,,,X,,,,,X,X,X
Bless,,1,,,,,,,,,,,,,,,X,,X,,,,
Blight,,4,,,,,,,,,,,,,,,,X,,,X,X,X
Blinding Smite,,3,,,,,,,,,,,,,,,,,X,,,,
Blindness/Deafness,,2,,,,,,,,,,,,,,X,X,,,,X,,X
Blink,,3,,,,,,,,,,,,,,,,,,,X,,X
